image_path,label,image_type,intention,question,reference_labels,model_answer
data/ssvtp\images_tac/image_4023_tac.jpg,"grainy, fabric, coarse",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","grainy, deformable|flat, lined, grainy, fabric","The surface feels flat, lined, grainy, fabric. Compared with rock, it is fabric, lined, grainy, diverging from typical rock traits."
data/ssvtp\images_tac/image_4023_tac.jpg,"grainy, fabric, coarse",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","grainy, deformable|flat, lined, grainy, fabric","The sample feels fabric, grainy. It may be fabric-like."
data/ssvtp\images_tac/image_1575_tac.jpg,"glossy, splotchy, hard, flat",tactile,property,Please describe the tactile properties of this sample.,"soft, patterned, lined, fabric","The surface feels fabric, patterned, lined, soft, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1575_tac.jpg,"glossy, splotchy, hard, flat",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, patterned, lined, fabric|fuzzy, lined","The surface feels hard, flat, patterned. Compared with rock, it is less rough, rigid, diverging from typical rock traits."
data/ssvtp\images_tac/image_1575_tac.jpg,"glossy, splotchy, hard, flat",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","soft, patterned, lined, fabric|fuzzy, lined","The sample feels fabric, lined, soft. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_3298_tac.jpg,"hard, flat, lined",tactile,property,Please describe the tactile properties of this sample.,"hard, smooth, lined","The surface feels hard, smooth, lined, flat, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3298_tac.jpg,"hard, flat, lined",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, smooth, lined|lined, smooth, flat","Sample feels hard, smooth, lined. Compared with rock, it is flat, smooth, diverging from typical rock traits."
data/ssvtp\images_tac/image_3298_tac.jpg,"hard, flat, lined",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, smooth, lined|lined, smooth, flat","The surface feels hard, smooth, lined. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_3669_tac.jpg,"fabric, coarse, deformable",tactile,property,Please describe the tactile properties of this sample.,"soft, fabric","The surface feels lined, grainy, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3669_tac.jpg,"fabric, coarse, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, fabric|fabric, vague","The sample feels soft, fabric, lined. Compared with rock, it is less hard, less rough, diverging from typical rock traits."
data/ssvtp\images_tac/image_3669_tac.jpg,"fabric, coarse, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","soft, fabric|fabric, vague","The surface feels fabric, vague. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_3991_tac.jpg,"patterned, grainy, sewn, fabric",tactile,property,Please describe the tactile properties of this sample.,"fabric, smooth","The surface feels fabric, smooth, soft, lined, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3991_tac.jpg,"patterned, grainy, sewn, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","fabric, smooth|fabric, woven, granular","Sample feels smooth, fabric, lined. Compared with rock, it is fabric, smooth, diverging from typical rock traits."
data/ssvtp\images_tac/image_3991_tac.jpg,"patterned, grainy, sewn, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","fabric, smooth|fabric, woven, granular","The sample feels fabric, granular. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_1431_tac.jpg,"hard, uneven, plastic",tactile,property,Please describe the tactile properties of this sample.,"uneven, metallic, rigid","The surface feels hard, splotchy, glossy, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1431_tac.jpg,"hard, uneven, plastic",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","uneven, metallic, rigid|hard, splotchy, glossy","Sample differences from rock: hard, splotchy, glossy. Emphasis on tactile traits rather than typical rock feel."
data/ssvtp\images_tac/image_1431_tac.jpg,"hard, uneven, plastic",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","uneven, metallic, rigid|hard, splotchy, glossy","The surface feels hard, splotchy, glossy. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_3875_tac.jpg,"smooth, lined, flat, hard",tactile,property,Please describe the tactile properties of this sample.,"smooth, fabric","The surface feels fabric, smooth, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3875_tac.jpg,"smooth, lined, flat, hard",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","smooth, fabric|flat, clear","Compared with rock, it feels smooth, fabric, diverging from typical rock traits."
data/ssvtp\images_tac/image_3875_tac.jpg,"smooth, lined, flat, hard",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","smooth, fabric|flat, clear","The sample feels smooth, fabric. These cues may indicate a fabric-like material."
